Metrics,A,AAP,AAPL,ABBV,ABC,ABT,ACIA,ACN,ACWI,ADBE,ADI,ADM,ADP,ADS,ADSK,AEM,AEP,AET,AFL,AGN,AGU,AIG,AKAM,ALB,ALGN,ALK,ALL,ALXN,AMBA,AME,AMGN,AMP,AMSG,AMT,AMZN,ANTM,AON,APA,APC,APD,ATVI,AVB,AVGO,AWK,AXP,BA,BABA,BAX,BBBY,BDX,BERY,BHI,BIDU,BIIB,BK,BLL,BLUE,BMRN,BMY,BRK.B,BUD,BURL,BXP,C,CAG,CAH,CAT,CB,CBS,CCE,CCI,CCL,CELG,CERN,CHKP,CHRW,CHTR,CI,CL,CLR,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,COF,COP,COST,CP,CPB,CRM,CSC,CST,CTAS,CTRP,CTSH,CTXS,CVS,CVX,CXO,D,DD,DE,DFS,DG,DGX,DHR,DIS,DISH,DKS,DLPH,DLR,DLTR,DOW,DPS,DRI,DTE,DUK,DVA,DVMT,DVN,DY,EA,EAT,ECL,ED,EIX,EL,EMN,EMR,ENB,EOG,EQR,EQT,ES,ESRX,ETN,ETR,EW,EXPE,EXR,FANG,FAST,FB,FDX,FFIV,FIS,FISV,FL,FLT,FTV,GD,GILD,GIS,GOLD,GOOG,GOOGL,GPN,GS,GSK,GWPH,HAL,HAR,HCA,HCN,HD,HES,HIG,HLF,HOG,HON,HOT,HP,HSIC,HSY,HUM,IBB,IBM,ILMN,INCY,INTU,IP,IR,ITW,JAZZ,JCI,JNJ,JPM,JWN,K,KHC,KLAC,KMB,KMX,KO,KORS,KSS,KSU,LB,LDOS,LEA,LEN,LH,LLTC,LLY,LMT,LNC,LNG,LNKD,LOW,LRCX,LULU,LVLT,LVS,LYB,MA,MAA,MAC,MAR,MBLY,MCD,MCHI,MCHP,MCK,MCO,MDLZ,MDT,MDVN,MET,MJN,MMC,MMM,MNK,MNST,MO,MON,MPC,MRK,MSFT,MSI,MTB,MYL,NEE,NEM,NFLX,NFX,NKE,NLSN,NOC,NOW,NSC,NTES,NUE,NVDA,NVO,NVS,NWL,NXPI,O,OA,OKE,OMC,ORCL,OXY,PANW,PAYX,PCAR,PCG,PDCE,PEG,PEP,PG,PH,PII,PLD,PM,PNC,PNR,PPG,PRGO,PRU,PSA,PSX,PVH,PX,PXD,QCOM,QQQ,QRVO,RAI,RCL,RDS.A,RDS.B,REGN,RHT,RL,ROK,ROST,RRC,RTN,SBAC,SBUX,SE,SEE,SHPG,SHW,SIG,SINA,SIX,SJM,SLB,SLG,SO,SPG,SPGI,SPLK,SRCL,SRE,STI,STJ,STT,STZ,SWK,SWKS,SYK,SYY,T,TAP,TEL,TEVA,TGT,THS,TIF,TJX,TLT,TMO,TMUS,TQQQ,TRGP,TRIP,TROW,TRV,TSCO,TSLA,TSN,TSO,TSRO,TTWO,TWLO,TWX,TXN,UAL,UHS,ULTA,UN,UNH,UNP,UPS,URI,USB,UTX,V,VCIT,VCSH,VFC,VLO,VMC,VMW,VRSN,VRTX,VTR,VZ,WB,WBA,WDAY,WDC,WEC,WFC,WHR,WLTW,WM,WMT,WRK,WSM,WUBA,WWAV,WYNN,XEC,XEL,XLNX,XOM,XRAY,YHOO,YUM,YY,ZBH,ZTS
Sector,Healthcare,Cyclical Consumer Goods & Services,Technology,Healthcare,Non-Cyclical Consumer Goods & Services,Healthcare,Technology,Industrials,Financials,Technology,Technology,Non-Cyclical Consumer Goods & Services,Industrials,Industrials,Technology,Basic Materials,Utilities,Healthcare,Financials,null,Basic Materials,Financials,Technology,Basic Materials,Healthcare,Industrials,Financials,Healthcare,Technology,Industrials,Healthcare,Financials,Healthcare,Financials,Cyclical Consumer Goods & Services,Healthcare,null,Energy,Energy,Basic Materials,Cyclical Consumer Goods & Services,Financials,Technology,Utilities,Financials,Industrials,Technology,Healthcare,Cyclical Consumer Goods & Services,Healthcare,Basic Materials,Energy,Technology,Healthcare,Financials,Basic Materials,Healthcare,Healthcare,Healthcare,Financials,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Financials,Financials,Non-Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Industrials,Financials,Cyclical Consumer Goods & Services,null,Financials,Cyclical Consumer Goods & Services,Healthcare,Healthcare,Technology,Industrials,null,Healthcare,Non-Cyclical Consumer Goods & Services,Energy,Non-Cyclical Consumer Goods & Services,Financials,Cyclical Consumer Goods & Services,Financials,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Utilities,Healthcare,Financials,Energy,Cyclical Consumer Goods & Services,Industrials,Non-Cyclical Consumer Goods & Services,Technology,Technology,Energy,Industrials,Cyclical Consumer Goods & Services,Technology,Technology,Non-Cyclical Consumer Goods & Services,Energy,Energy,Utilities,Industrials,Industrials,Financials,Cyclical Consumer Goods & Services,Healthcare,Industrials,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Financials,Cyclical Consumer Goods & Services,Basic Materials,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Utilities,Utilities,Healthcare,Technology,Energy,Industrials,null,Cyclical Consumer Goods & Services,Industrials,Utilities,Utilities,Non-Cyclical Consumer Goods & Services,Basic Materials,Industrials,Energy,Energy,Financials,Energy,Utilities,null,null,Utilities,Healthcare,Cyclical Consumer Goods & Services,Financials,Energy,Industrials,Technology,Industrials,Technology,Financials,Industrials,Cyclical Consumer Goods & Services,Industrials,Technology,Industrials,Healthcare,Non-Cyclical Consumer Goods & Services,Basic Materials,Technology,Technology,Industrials,Financials,Healthcare,Healthcare,Energy,Technology,Healthcare,Financials,Cyclical Consumer Goods & Services,Energy,Financials,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Industrials,Cyclical Consumer Goods & Services,Energy,Healthcare,Non-Cyclical Consumer Goods & Services,Healthcare,Financials,Technology,Healthcare,Healthcare,Technology,Basic Materials,Industrials,Industrials,null,Cyclical Consumer Goods & Services,Healthcare,Financials,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Technology,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Industrials,Cyclical Consumer Goods & Services,null,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Healthcare,Technology,Healthcare,Industrials,Financials,null,Technology,Cyclical Consumer Goods & Services,Technology,Cyclical Consumer Goods & Services,Telecommunications Services,Cyclical Consumer Goods & Services,Basic Materials,Industrials,Financials,Financials,Cyclical Consumer Goods & Services,Technology,Cyclical Consumer Goods & Services,Financials,Technology,Non-Cyclical Consumer Goods & Services,Industrials,Non-Cyclical Consumer Goods & Services,Healthcare,Healthcare,Financials,Non-Cyclical Consumer Goods & Services,Financials,Industrials,Healthcare,null,Non-Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Energy,Healthcare,Technology,Technology,Financials,Healthcare,Utilities,Basic Materials,Technology,Energy,Cyclical Consumer Goods & Services,null,Industrials,Technology,Industrials,Technology,Basic Materials,Technology,Healthcare,Healthcare,Non-Cyclical Consumer Goods & Services,Technology,Financials,Industrials,Energy,Cyclical Consumer Goods & Services,Technology,Energy,Technology,Industrials,Industrials,Utilities,Energy,Utilities,Non-Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Industrials,Cyclical Consumer Goods & Services,Financials,Non-Cyclical Consumer Goods & Services,Financials,null,Basic Materials,null,Financials,Financials,Energy,Cyclical Consumer Goods & Services,Basic Materials,Energy,Technology,Financials,Technology,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Energy,Energy,Healthcare,Technology,Cyclical Consumer Goods & Services,Industrials,Cyclical Consumer Goods & Services,Energy,Industrials,Telecommunications Services,Cyclical Consumer Goods & Services,Energy,Basic Materials,Healthcare,Basic Materials,Cyclical Consumer Goods & Services,Technology,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Energy,Financials,Utilities,Financials,Industrials,Technology,Industrials,Utilities,Financials,Healthcare,Financials,Non-Cyclical Consumer Goods & Services,Industrials,Technology,Healthcare,Non-Cyclical Consumer Goods & Services,Telecommunications Services,Non-Cyclical Consumer Goods & Services,Industrials,Healthcare,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Financials,Healthcare,null,Financials,Energy,Cyclical Consumer Goods & Services,Financials,Financials,Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Energy,Healthcare,Cyclical Consumer Goods & Services,Technology,Cyclical Consumer Goods & Services,Technology,Industrials,Healthcare,Cyclical Consumer Goods & Services,Non-Cyclical Consumer Goods & Services,Healthcare,Industrials,Industrials,Industrials,Financials,Industrials,Industrials,Financials,Financials,Cyclical Consumer Goods & Services,Energy,Basic Materials,Technology,Technology,Healthcare,Financials,Telecommunications Services,Technology,Non-Cyclical Consumer Goods & Services,Technology,Technology,Utilities,Financials,Cyclical Consumer Goods & Services,Financials,Industrials,Cyclical Consumer Goods & Services,Basic Materials,Cyclical Consumer Goods & Services,Technology,Non-Cyclical Consumer Goods & Services,Cyclical Consumer Goods & Services,Energy,Utilities,Technology,Energy,Healthcare,Technology,Cyclical Consumer Goods & Services,Technology,Healthcare,Healthcare
Industry,Advanced Medical Equipment & Technology,Automotive Parts & Accessories Retailers,Computer Hardware,Specialty & Advanced Pharmaceuticals,Drug Retailers,Pharmaceuticals,Communications & Networking,Business Support Services,Investment Trusts,Application Software,Semiconductors,Food Processing,Outsourcing & Staffing Services,Business Support Services,Application Software,Gold Mining,Electric Utilities,Managed Health Care,Life & Health Insurance,null,Agricultural Chemicals,Multiline Insurance & Brokers,IT Services & Consulting,Commodity Chemicals,Medical Equipment Supplies & Distribution,Airlines,Property & Casualty Insurance,Biopharmaceuticals,Semiconductors,Electrical Components & Equipment,Bio Therapeutic Drugs,Investment Management & Fund Operators,Hospitals Clinics & Primary Care Services,Specialized REITs,Department Stores,Managed Health Care,null,Oil & Gas Exploration and Production,Oil & Gas Exploration and Production,Commodity Chemicals,Toys & Juvenile Products,Residential REITs,Semiconductors,Water Supply & Irrigation Systems,Consumer Credit Cards Services,Commercial Aircraft Manufacturing,E-commerce & Auction Services,Medical Equipment Supplies & Distribution,Home Furnishings Retailers,Medical Supplies,Plastic Container & Packaging,Oil Related Services and Equipment,Search Engines,Specialty & Advanced Pharmaceuticals,Investment Management & Fund Operators,Non-Paper Containers & Packaging,Bio Therapeutic Drugs,Generic Pharmaceuticals,Pharmaceuticals,Property & Casualty Insurance,Brewers,Discount Stores,Office REITs,Banks,Food Processing,Drug Retailers,Heavy Machinery & Vehicles,Multiline Insurance & Brokers,Broadcasting,null,Specialized REITs,Cruise Lines,Bio Therapeutic Drugs,Advanced Medical Equipment & Technology,Application Software,Ground Freight & Logistics,null,Managed Health Care,Personal Products,Oil & Gas Exploration and Production,Household Products,Banks,Broadcasting,Financial & Commodity Market Operators,Quick Service Restaurants,Construction Supplies & Fixtures,Multiline Utilities,Managed Health Care,Consumer Credit Cards Services,Oil & Gas Exploration and Production,Discount Stores,Ground Freight & Logistics,Food Processing,Cloud Computing Services,IT Services & Consulting,Gasoline stations,Business Support Services,Travel Agents,IT Services & Consulting,Software,Drug Retailers,Petroleum Refining,Oil & Gas Exploration and Production,Electric Utilities,Industrial Conglomerates,Heavy Machinery & Vehicles,Consumer Lending,Discount Stores,Healthcare Facilities & Services,Industrial Machinery & Equipment,Broadcasting,Cable Service Providers,Sporting Goods Stores,Auto Truck & Motorcycle Parts,Commercial REITs,Discount Stores without groceries,Diversified Chemicals,Non-Alcoholic Beverages,Restaurants & Bars,Electric Utilities,Electric Utilities,Healthcare Facilities & Services,Computer Hardware,Oil & Gas Exploration and Production,Telecommunication Construction,null,Commercial Food Services,Business Support Services,Electric Utilities,Electric Utilities,Personal Products,Commodity Chemicals,Electrical Components & Equipment,Oil & Gas Transportation Services,Oil & Gas Exploration and Production,Residential REITs,Oil & Gas Exploration and Production,Electric Utilities,null,null,Electric Utilities,Advanced Medical Equipment & Technology,Leisure & Recreation,Self-Storage REITs,Oil & Gas Exploration and Production,Industrial Machinery & Equipment Wholesale,Social Media & Networking,Air Freight & Logistics,IT Services & Consulting,Financial & Commodity Market Operators,Transaction & Payment Services,Apparel & Accessories Retailers,Transaction & Payment Services,Semiconductor Equipment & Testing,Aerospace & Defense,Bio Therapeutic Drugs,Food Processing,Gold,Search Engines,Search Engines,Transaction & Payment Services,Investment Banking & Brokerage Services,Pharmaceuticals,Bio Therapeutic Drugs,Oil Related Services and Equipment,Software,Healthcare Facilities & Services,Healthcare REITs,Home Improvement Products & Services Retailers,Oil & Gas Refining and Marketing,Multiline Insurance & Brokers,Personal Products,Motorcycles & Scooters,Industrial Conglomerates,Hotels Motels & Cruise Lines,Oil & Gas Drilling,Medical Equipment Wholesale,Food Processing,Managed Health Care,Exchange Traded Funds,IT Services & Consulting,Advanced Medical Equipment & Technology,Biotechnology & Medical Research,Enterprise Software,Paper Packaging,Industrial Machinery & Equipment,Industrial Conglomerates,null,Auto Truck & Motorcycle Parts,Pharmaceuticals,Banks,Apparel & Accessories Retailers,Food Processing,Food Processing,Semiconductor Testing Equipment & Service,Sanitary Products,New Car Dealers,Non-Alcoholic Beverages,Apparel & Accessories Retailers,Retail - Department Stores,Ground Freight & Logistics,Apparel & Accessories Retailers,null,Auto Truck & Motorcycle Parts,Residential Builders - Single Homes,Healthcare Facilities & Services,Semiconductors,Pharmaceuticals,Aerospace & Defense,Life & Health Insurance,null,Social Media & Networking,Home Improvement Products & Services Retailers,Semiconductor Equipment & Testing,Apparel & Accessories,Integrated Telecommunications Services,Casinos,Commodity Chemicals,Transaction & Payment Services,Residential REITs,Retail REITs,Hotels Motels & Cruise Lines,Application Software,Quick Service Restaurants,Exchange Traded Funds,Semiconductors,Drug Retailers,Rating Agencies,Food Processing,Medical Equipment Supplies & Distribution,Bio Therapeutic Drugs,Life & Health Insurance,Baby Food,Multiline Insurance & Brokers,Industrial Conglomerates,Specialty & Advanced Pharmaceuticals,null,Cigars & Cigarette Manufacturing,Fishing & Farming,Oil & Gas Refining and Marketing,Pharmaceuticals,Software,Communications & Networking,Banks,Pharmaceuticals,Renewable Utilities,Gold Mining,Internet Services,Oil & Gas Exploration and Production,Sports & Outdoor Footwear,null,Aerospace & Defense,IT Services & Consulting,Ground Freight & Logistics,IT Services & Consulting,Steel,Semiconductors,Pharmaceuticals,Pharmaceuticals,Household Products,Semiconductors,Commercial REITs,Aerospace & Defense,Natural Gas Pipeline,Advertising & Marketing,Enterprise Software,Oil & Gas Exploration and Production,IT Services & Consulting,Outsourcing & Staffing Services,Heavy Machinery & Vehicles,Electric Utilities,Oil & Gas Exploration and Production,Electric Utilities,Carbonated Soft Drinks,Personal Products,Industrial Machinery & Equipment,Recreational Products,Industrial REITs,Tobacco,Banks,null,Paint & Coating,null,Life & Health Insurance,Self-Storage REITs,Oil & Gas Refining and Marketing,Apparel & Accessories,Commodity Chemicals,Oil & Gas Exploration and Production,Communications & Networking,Investment Trusts,Semiconductor Equipment & Testing,Tobacco,Cruise Lines,Oil & Gas Refining and Marketing,Oil & Gas Refining and Marketing,Bio Therapeutic Drugs,Software,Apparel & Accessories,Electrical Components & Equipment,Apparel & Accessories Retailers,Oil & Gas Exploration and Production,Aerospace & Defense,Wireless Telecommunications Services,Restaurants & Bars,Natural Gas Pipeline,Non-Paper Containers & Packaging,Pharmaceuticals,Paint & Coating,Jewelry & Watch Retailers,Social Media & Networking,Leisure & Recreation,Fruit & Vegetable Processing,Oil Related Services and Equipment,Office REITs,Electric Utilities,Retail REITs,Professional Information Services,Software,Waste Management Disposal & Recycling Services,Multiline Utilities,Banks,Medical Devices & Implants,Investment Management & Fund Operators,Wineries,Industrial Machinery & Equipment,Integrated Circuits,Medical Devices & Implants,Food Retail & Distribution,Wireless Telecommunications Services,Brewers,Electronic Component,Pharmaceuticals,Discount Stores,Fruit & Vegetable Processing,Jewelry & Watch Retailers,Discount Stores without groceries,Exchange Traded Funds,Advanced Medical Equipment & Technology,null,Exchange Traded Funds,Oil & Gas Transportation Services,Leisure & Recreation,Investment Management,Property & Casualty Insurance,Other Specialty Retailers,Electrical (Alternative) Vehicles,Animal Slaughtering & Processing,Oil & Gas Refining and Marketing,Bio Therapeutic Drugs,Toys & Juvenile Products,Application Software,Movie TV Production & Distribution,Semiconductors,Airlines,Healthcare Facilities & Services,Beauty Supply Shop,Personal Products,Managed Health Care,Ground Freight & Logistics,Air Freight & Logistics,Business Support Services,Banks,Aerospace & Defense,Business Support Services,Exchange Traded Funds,Exchange Traded Funds,Apparel & Accessories,Oil & Gas Refining and Marketing,Construction Materials,IT Services & Consulting,IT Services & Consulting,Bio Therapeutic Drugs,Healthcare REITs,Integrated Telecommunications Services,Internet Services,Drug Retailers,Application Software,Storage Devices,Electric Utilities,Banks,Household Appliances,Insurance Brokers,Environmental Services & Equipment,Other Specialty Retailers,Paper Packaging,Home Furnishings Retailers,Internet Services,Food Processing,Casinos,Oil & Gas Exploration and Production,Electric Utilities,Semiconductors,Oil & Gas Refining and Marketing,Medical Equipment Supplies & Distribution,Search Engines,Quick Service Restaurants,Internet Services,Medical Equipment Supplies & Distribution,Veterinary Drugs
